id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,status,name,alias1,description,mode,type1_coding1_system,type1_coding1_code,type1_coding1_display,type1_coding2_system,type1_coding2_code,type1_coding2_display,telecom1_system,telecom1_value,telecom1_use,address1_text,address1_line1,address1_line2,address1_city,address1_state,address1_postalCode,address1_country,physicalType_coding1_system,physicalType_coding1_code,physicalType_coding1_display,managingOrganization_reference_id,partOf_reference_id
cracow-pharmacy,,,,,,,,Cracow Pharmacy,,,instance,,,,,,,,,,,174 Tarpeian St,,Cracow,QLD,4719,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,cracow-pharmacy,
elimbah-medical-centre,,,,,,,,Elimbah Medical Centre,,,instance,,,,,,,,,,,199 Copper Esp,,Elimbah,QLD,4516,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,elimbah-medical-centre,
loch-lomond-medical-clinic,,,,,,,,Loch Lomond Medical Clinic,,,instance,,,,,,,,,,,32 Silver Cl,,Loch Lomond,QLD,4370,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,loch-lomond-medical-clinic,
hudson-aged-care,,,,,,,,Hudson Aged Care,,,instance,,,,,,,,,,,99 Southern Lane,,Hudson,QLD,4860,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,hudson-aged-care,
annandale-dental,,,,,,,,Annandale Dental,,,instance,,,,,,,,,,,164 Cresson Esp,,Annandale,QLD,4814,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,annandale-dental,
southedge-practice,,,,,,,,Southedge Practice,,,instance,,,,,,,,,,,33 Church Tce,,Southedge,QLD,4871,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,southedge-practice,
dubbo-emergency,,,,,,,,Dubbo Emergency,,,instance,,,,,,,,,,,24 Airport Rdge,,Dubbo,NSW,2830,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,dubbo-emergency,
gangat-endocrinology-clinic,,,,,,,,Gangat Endocrinology Clinic,,,instance,,,,,,,,,,,142 Mandarin Rd,,Gangat,NSW,2422,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,gangat-endocrinology-clinic,
kensington-public-hospital,,,,,,,,Kensington Public Hospital,,,instance,,,,,,,,,,,191 Jenkins Cct,,Kensington,NSW,2033,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,kensington-public-hospital,
mount-mitchell-private-hospital,,,,,,,,Mount Mitchell Private Hospital,,,instance,,,,,,,,,,,40 Jenkins Rvr,,Mount Mitchell,NSW,2365,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mount-mitchell-private-hospital,
frenchs-forest-east-radiology,,,,,,,,Frenchs Forest East Radiology,,,instance,,,,,,,,,,,16 Innovation Cl,,Frenchs Forest East,NSW,2086,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,frenchs-forest-east-radiology,
fishermans-reach-radiology,,,,,,,,Fishermans Reach Radiology,,,instance,,,,,,,,,,,5 Newport Rdge,,Fishermans Reach,NSW,2441,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,fishermans-reach-radiology,
pullabooka-pathology,,,,,,,,Pullabooka Pathology,,,instance,,,,,,,,,,,127 Council Dr,,Pullabooka,NSW,2810,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,pullabooka-pathology,
higher-macdonald-pathology,,,,,,,,Higher Macdonald Pathology,,,instance,,,,,,,,,,,79 Hermann Rvr,,Higher Macdonald,NSW,2775,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,higher-macdonald-pathology,
lilydale-pharmacy,,,,,,,,Lilydale Pharmacy,,,instance,,,,,,,,,,,6 Wolverene Cct,,Lilydale,NSW,2460,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,lilydale-pharmacy,
appin-pharmacy,,,,,,,,Appin Pharmacy,,,instance,,,,,,,,,,,124 Hendrix Ave,,Appin,NSW,2560,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,appin-pharmacy,
mossy-point-medical-centre,,,,,,,,Mossy Point Medical Centre,,,instance,,,,,,,,,,,192 Pheonix Jnc,,Mossy Point,NSW,2537,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mossy-point-medical-centre,
bungabbee-medical-clinic,,,,,,,,Bungabbee Medical Clinic,,,instance,,,,,,,,,,,158 Toby Ave,,Bungabbee,NSW,2480,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bungabbee-medical-clinic,
wallendbeen-aged-care,,,,,,,,Wallendbeen Aged Care,,,instance,,,,,,,,,,,62 Desleigh Dr,,Wallendbeen,NSW,2588,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,wallendbeen-aged-care,
canton-beach-physiotherapy,,,,,,,,Canton Beach Physiotherapy,,,instance,,,,,,,,,,,42 Southern Lane,,Canton Beach,NSW,2263,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,canton-beach-physiotherapy,
bucketty-oncology-clinic,,,,,,,,Bucketty Oncology Clinic,,,instance,,,,,,,,,,,144 Gold Qy,,Bucketty,NSW,2250,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bucketty-oncology-clinic,
kippenduff-cardiologist,,,,,,,,Kippenduff Cardiologist,,,instance,,,,,,,,,,,58 Warrego Tce,,Kippenduff,NSW,2469,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,kippenduff-cardiologist,
mount-glasgow-emergency,,,,,,,,Mount Glasgow Emergency,,,instance,,,,,,,,,,,142 Toby Rd,,Mount Glasgow,VIC,3371,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mount-glasgow-emergency,
cooriemungle-cardiology-clinic,,,,,,,,Cooriemungle Cardiology Clinic,,,instance,,,,,,,,,,,29 Hendrix Pde,,Cooriemungle,VIC,3268,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,cooriemungle-cardiology-clinic,
murrabit-public-hopsital,,,,,,,,Murrabit Public Hopsital,,,instance,,,,,,,,,,,144 Central Gdns,,Murrabit,VIC,3579,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,murrabit-public-hopsital,
wannon-private-hospital,,,,,,,,Wannon Private Hospital,,,instance,,,,,,,,,,,182 Hung Lane,,Wannon,VIC,3301,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,wannon-private-hospital,
mckenzie-creek-radiology,,,,,,,,Mckenzie Creek Radiology,,,instance,,,,,,,,,,,92 Arthur Lane,,Mckenzie Creek,VIC,3401,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mckenzie-creek-radiology,
bridgewater-pathology,,,,,,,,Bridgewater Pathology,,,instance,,,,,,,,,,,38 Central Cl,,Bridgewater On Loddon,VIC,3516,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bridgewater-pathology,
pine-view-pharmacy,,,,,,,,Pine View Pharmacy,,,instance,,,,,,,,,,,125 Sebastien Pnt,,Pine View,VIC,3579,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,pine-view-pharmacy,
launching-place-pharmacy,,,,,,,,Launching Place Pharmacy,,,instance,,,,,,,,,,,45 Valley Tce,,Launching Place,VIC,3139,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,launching-place-pharmacy,
milnes-bridge-medical-centre,,,,,,,,Milnes Bridge Medical Centre,,,instance,,,,,,,,,,,71 River Pl,,Milnes Bridge,VIC,3579,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,milnes-bridge-medical-centre,
joyces-creek-medical-clinic,,,,,,,,Joyces Creek Medical Clinic,,,instance,,,,,,,,,,,94 Hendrix Pl,,Joyces Creek,VIC,3462,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,joyces-creek-medical-clinic,
douglas-radiology,,,,,,,,Douglas Radiology,,,instance,,,,,,,,,,,74 Freedom Lane,,Douglas,VIC,3401,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,douglas-radiology,
trentham-pathology,,,,,,,,Trentham Pathology,,,instance,,,,,,,,,,,10 King Gr,,Trentham,VIC,3458,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,trentham-pathology,
rowsley-aged-care,,,,,,,,Rowsley Aged Care,,,instance,,,,,,,,,,,18 Forrest Qy,,Rowsley,VIC,3340,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,rowsley-aged-care,
eltham-north-optical,,,,,,,,Eltham North Optical,,,instance,,,,,,,,,,,83 Long St,,Eltham North,VIC,3095,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,eltham-north-optical,
mitchells-hill-audiology,,,,,,,,Mitchells Hill Audiology,,,instance,,,,,,,,,,,87 Freedom Pnt,,Mitchells Hill,VIC,3478,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mitchells-hill-audiology,
bunbury-public-hospital,,,,,,,,Bunbury Public Hospital,,,instance,,,,,,,,,,,142 Underwood Cl,,Bunbury,WA,6230,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bunbury-public-hospital,
morgantown-private-hospital,,,,,,,,Morgantown Private Hospital,,,instance,,,,,,,,,,,190 Innovation Rdge,,Morgantown,WA,6701,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,morgantown-private-hospital,
koolanooka-radiology,,,,,,,,Koolanooka Radiology,,,instance,,,,,,,,,,,142 Walden Gdns,,Koolanooka,WA,6623,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,koolanooka-radiology,
kununurra-pathology,,,,,,,,Kununurra Pathology,,,instance,,,,,,,,,,,181 Adelaide Ave,,Kununurra,WA,6743,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,kununurra-pathology,
mcbeath-pharmacy,,,,,,,,Mcbeath Pharmacy,,,instance,,,,,,,,,,,142 George Esp,,Mcbeath,WA,6770,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,mcbeath-pharmacy,
lake-wells-medical-practice,,,,,,,,Lake Wells Medical Practice,,,instance,,,,,,,,,,,142 Warrego St,,Lake Wells,WA,6440,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,lake-wells-medical-practice,
quinninup-medical-clinic,,,,,,,,Quinninup Medical Clinic,,,instance,,,,,,,,,,,24 Grande Pl,,Quinninup,WA,6258,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,quinninup-medical-clinic,
piesseville-gastroenterology,,,,,,,,Piesseville Gastroenterology,,,instance,,,,,,,,,,,92 Shall Est,,Piesseville,WA,6315,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,piesseville-gastroenterology,
balbarrup-practice,,,,,,,,Balbarrup Practice,,,instance,,,,,,,,,,,142 Western Way,,Balbarrup,WA,6258,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,balbarrup-practice,
east-point-renal-clinic,,,,,,,,East Point Renal Clinic,,,instance,,,,,,,,,,,142 Glider Rdge,,East Point,NT,0820,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,east-point-renal-clinic,
pine-creek-public-hospital,,,,,,,,Pine Creek Public Hospital,,,instance,,,,,,,,,,,179 Hume Cct,,Pine Creek,NT,0847,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,pine-creek-public-hospital,
beswick-private-hospital,,,,,,,,Beswick Private Hospital,,,instance,,,,,,,,,,,23 Forrest Gr,,Beswick,NT,0852,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,beswick-private-hospital,
kaltukatjara-radiology,,,,,,,,Kaltukatjara Radiology,,,instance,,,,,,,,,,,123 Greenwood Jnc,,Kaltukatjara,NT,0872,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,kaltukatjara-radiology,
bayview-pathology,,,,,,,,Bayview Pathology,,,instance,,,,,,,,,,,19 Museum Jnc,,Bayview,NT,0820,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,bayview-pathology,
ludmilla-pharmacy,,,,,,,,Ludmilla Pharmacy,,,instance,,,,,,,,,,,62 John Hts,,Ludmilla,NT,0820,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,ludmilla-pharmacy,
alice-springs-medical-practice,,,,,,,,Alice Springs Medical Practice,,,instance,,,,,,,,,,,148 Glider Esp,,Alice Springs,NT,0872,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,alice-springs-medical-practice,
cullen-bay-medical-clinic,,,,,,,,Cullen Bay Medical Clinic,,,instance,,,,,,,,,,,91 Law Ct,,Cullen Bay,NT,0820,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,cullen-bay-medical-clinic,
annie-river-practice,,,,,,,,Annie River Practice,,,instance,,,,,,,,,,,63 Forrest Rdge,,Annie River,NT,0822,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,annie-river-practice,
leasingham-public-hospital,,,,,,,,Leasingham Public Hospital,,,instance,,,,,,,,,,,142 Verdanna Way,,Leasingham,SA,5452,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,leasingham-public-hospital,
yunta-private-hospital,,,,,,,,Yunta Private Hospital,,,instance,,,,,,,,,,,14 Shall Pl,,Yunta,SA,5440,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,yunta-private-hospital,
cape-jaffa-radiology,,,,,,,,Cape Jaffa Radiology,,,instance,,,,,,,,,,,91 Toby Esp,,Cape Jaffa,SA,5275,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,cape-jaffa-radiology,
back-valley-radiology,,,,,,,,Back Valley Radiology,,,instance,,,,,,,,,,,179 Delaware Hts,,Back Valley,SA,5211,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,back-valley-radiology,
woodcroft-pathology,,,,,,,,Woodcroft Pathology,,,instance,,,,,,,,,,,104 Gottfried Esp,,Woodcroft,SA,5162,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,woodcroft-pathology,
wingfield-pathology,,,,,,,,Wingfield Pathology,,,instance,,,,,,,,,,,5 Queen Ct,,Wingfield,SA,5013,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,wingfield-pathology,
edwardstown-pharmacy,,,,,,,,Edwardstown Pharmacy,,,instance,,,,,,,,,,,128 Loftus Qy,,Edwardstown,SA,5039,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,edwardstown-pharmacy,
beltana-medical-practice,,,,,,,,Beltana Medical Practice,,,instance,,,,,,,,,,,181 State Rvr,,Beltana,SA,5730,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,beltana-medical-practice,
karkoo-chiropractic,,,,,,,,Karkoo Chiropractic,,,instance,,,,,,,,,,,54 Toby Rvr,,Karkoo,SA,5607,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,karkoo-chiropractic,
rosetta-public-hospital,,,,,,,,Rosetta Public Hospital,,,instance,,,,,,,,,,,142 Tarpeian Tce,,Rosetta,TAS,7010,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,rosetta-public-hospital,
robigana-private-hospital,,,,,,,,Robigana Private Hospital,,,instance,,,,,,,,,,,147 Zorro Cr,,Robigana,TAS,7275,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,robigana-private-hospital,
blumont-radiology,,,,,,,,Blumont Radiology,,,instance,,,,,,,,,,,118 Woodstock Jnc,,Blumont,TAS,7260,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,blumont-radiology,
verona-sands-pathology,,,,,,,,Verona Sands Pathology,,,instance,,,,,,,,,,,108 Arthur Jnc,,Verona Sands,TAS,7112,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,verona-sands-pathology,
launceston-pharmacy,,,,,,,,Launceston Pharmacy,,,instance,,,,,,,,,,,156 Victoria Gdns,,Launceston,TAS,7250,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,launceston-pharmacy,
southport-medical-practice,,,,,,,,Southport Medical Practice,,,instance,,,,,,,,,,,133 Glider Qy,,Southport,TAS,7109,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,southport-medical-practice,
oxley-public-hospital,,,,,,,,Oxley Public Hospital,,,instance,,,,,,,,,,,142 Long Tce,,Oxley,ACT,2903,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,oxley-public-hospital,
monash-private-hospital,,,,,,,,Monash Private Hospital,,,instance,,,,,,,,,,,44 Western Gr,,Monash,ACT,2904,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,monash-private-hospital,
nicholls-radiology,,,,,,,,Nicholls Radiology,,,instance,,,,,,,,,,,65 Law Rd,,Nicholls,ACT,2913,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,nicholls-radiology,
calwell-pathology,,,,,,,,Calwell Pathology,,,instance,,,,,,,,,,,49 Elenore Pl,,Calwell,ACT,2905,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,calwell-pathology,
ginninderra-pharmacy,,,,,,,,Ginninderra Pharmacy,,,instance,,,,,,,,,,,71 Pheonix Way,,Ginninderra Village,ACT,2913,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,ginninderra-pharmacy,
ngunnawal-medical-practice,,,,,,,,Ngunnawal Medical Practice,,,instance,,,,,,,,,,,56 High Rd,,Ngunnawal,ACT,2913,,http://terminology.hl7.org/CodeSystem/location-physical-type,si,Site,ngunnawal-medical-practice,
