id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,providedBy_reference_id,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,specialty_coding1_system,specialty_coding1_code,specialty_coding1_display,specialty_text,location_reference_id,name,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,,
generalpractice-loch-lomond-medical-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040367,,,,,,true,loch-lomond-medical-clinic,http://snomed.info/sct,788007007,General practice service,,,,General practice medical clinic service,,,,,loch-lomond-medical-clinic,Loch Lomond Medical Clinic,phone,0755507646,work,email,info@lochlomondmc.example.net,,,
privateprofit-hudson-aged-care,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706019,,,,,,true,hudson-aged-care,http://snomed.info/sct,1120991000168102,Aged care residential service,,,,Private profit nursing home for he aged,,,,Residential care for the aged operation,hudson-aged-care,Hudson Aged Care,phone,0755500619,work,email,reception@hudsonagedcare.example.com.au,,,
dentalpractice-annandale-dental,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040383,,,,,,true,annandale-dental,http://snomed.info/sct,310144008,General dental practice service,,,,Dental practice service,,,,,annandale-dental,Annandale Dental,phone,0755500726,work,email,reception@annandaledental.example.net,,,
communityhealth-southedge-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706901,,,,,,true,southedge-practice,http://snomed.info/sct,413294000,Community health services,,,,Community Health Care,,,,,southedge-practice,Southedge Practice,phone,0755508297,work,email,info@southedgepractice.example.com.au,,,
emergencydepartment-dubbo-emergency,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039121,,,,,,true,dubbo-emergency,http://snomed.info/sct,310000008,Emergency department service,,,,Emergency Department Services,,,,,dubbo-emergency,Dubbo Emergency,phone,0255500451,work,email,info@dubboemergency.example.net,,,
specialistmedical-gangat-endocrinology-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373115,,,,,,true,gangat-endocrinology-clinic,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,http://snomed.info/sct,394583002,Endocrinology,Endocrinology Services,gangat-endocrinology-clinic,Gangat Endocrinology Clinic,phone,0255509908,work,email,reception@gangatendocrinologyclinic.example.com.au,,,
publicacute-kensington-public-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706927,,,,,,true,kensington-public-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,kensington-public-hospital,Kensington Public Hospital,phone,0255507070,work,email,reception@kensingtonph.example.net,,,
privateacute-mount-mitchell-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373330,,,,,,true,mount-mitchell-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,mount-mitchell-private-hospital,Mount Mitchell Private Hospital,phone,0255507157,work,email,info@mountmitchellph.example.com.au,,,
diagnosticimaging-frenchs-forest-east-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706935,,,,,,true,frenchs-forest-east-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,frenchs-forest-east-radiology,Frenchs Forest East Radiology,phone,0255509361,work,email,info@frenchsforesteastrd.example.net,,,
diagnosticimaging-fishermans-reach-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373348,,,,,,true,fishermans-reach-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,fishermans-reach-radiology,Fishermans Reach Radiology,phone,0255501561,work,email,reception@fishermansreachrd.example.com.au,,,
pathologylaboratory-pullabooka-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373131,,,,,,true,pullabooka-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,pullabooka-pathology,Pullabooka Pathology,phone,0255508639,work,email,reception@pullabookapathology.example.net,,,
pathologylaboratory-higher-macdonald-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040391,,,,,,true,higher-macdonald-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,higher-macdonald-pathology,Higher Macdonald Pathology,phone,0255508665,work,email,info@highermacdonaldpathology.example.com.au,,,
pharmacyretail-lilydale-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040409,,,,,,true,lilydale-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,lilydale-pharmacy,Lilydale Pharmacy,phone,0255502632,work,email,info@lilydalepharmacy.example.net,,,
communitypharmacy-appin-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040417,,,,,,true,appin-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,Community Pharmacy,,,,,appin-pharmacy,Appin Pharmacy,phone,0255500340,work,email,reception@appinpharmacy.example.com.au,,,
generalmedical-mossy-point-medical-centre,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040425,,,,,,true,mossy-point-medical-centre,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,mossy-point-medical-centre,Mossy Point Medical Centre,phone,0255509415,work,email,reception@mossypointmc.example.net,,,
generalpractice-bungabbee-medical-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039170,,,,,,true,bungabbee-medical-clinic,http://snomed.info/sct,788007007,General practice service,,,,General practice medical clinic service,,,,,bungabbee-medical-clinic,Bungabbee Medical Clinic,phone,0255506327,work,email,info@bungabbeemc.example.com.au,,,
privateprofit-wallendbeen-aged-care,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040441,,,,,,true,wallendbeen-aged-care,http://snomed.info/sct,1120991000168102,Aged care residential service,,,,Private profit nursing home for he aged,,,,Residential care for the aged operation,wallendbeen-aged-care,Wallendbeen Aged Care,phone,0255506011,work,email,info@wallendbeenagedcare.example.net,,,
physiotherapyservices-canton-beach-physiotherapy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706068,,,,,,true,canton-beach-physiotherapy,http://snomed.info/sct,722140001,Physiotherapy service,,,,Physiotherapy Services,,,,,canton-beach-physiotherapy,Canton Beach Physiotherapy,phone,0255504477,work,email,reception@cantonbeachphysio.example.com.au,,,
specialistmedical-bucketty-oncology-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706950,,,,,,true,bucketty-oncology-clinic,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,http://snomed.info/sct,394592004,Clinical oncology,Clinical Oncology Services,bucketty-oncology-clinic,Bucketty Oncology Clinic,phone,0255508886,work,email,reception@buckettyoncologyclinic.example.net,,,
specialistmedical-kippenduff-cardiologist,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373156,,,,,,true,kippenduff-cardiologist,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,,,,,kippenduff-cardiologist,Kippenduff Cardiologist,phone,0255505938,work,email,info@kippenduffcardiologist.example.com.au,,,
emergencydepartment-mount-glasgow-emergency,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706076,,,,,,true,mount-glasgow-emergency,http://snomed.info/sct,310000008,Emergency department service,,,,Emergency Department Services,,,,,mount-glasgow-emergency,Mount Glasgow Emergency,phone,0355504383,work,email,info@mountglasgowemergency.example.com.au,,,
specialistmedical-cooriemungle-cardiology-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373371,,,,,,true,cooriemungle-cardiology-clinic,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,http://snomed.info/sct,408456005,"	Thoracic surgery",Thoracic medicine Services,cooriemungle-cardiology-clinic,Cooriemungle Cardiology Clinic,phone,0355508586,work,email,info@cooriemunglecardiologyclinic.example.net,,,
publicacute-murrabit-public-hopsital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706976,,,,,,true,murrabit-public-hopsital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,murrabit-public-hopsital,Murrabit Public Hopsital,phone,0355509111,work,email,reception@murrabitph.example.com.au,,,
privateacute-wannon-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039188,,,,,,true,wannon-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,wannon-private-hospital,Wannon Private Hospital,phone,0355508740,work,email,reception@wannonph.example.net,,,
diagnosticimaging-mckenzie-creek-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706992,,,,,,true,mckenzie-creek-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,mckenzie-creek-radiology,Mckenzie Creek Radiology,phone,0355502169,work,email,info@mckenziecreekradiology.example.com.au,,,
pathologylaboratory-bridgewater-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039196,,,,,,true,bridgewater-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,bridgewater-pathology,Bridgewater Pathology,phone,0355505241,work,email,info@bridgewaterpathology.example.net,,,
pharmacyretail-pine-view-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373172,,,,,,true,pine-view-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,pine-view-pharmacy,Pine View Pharmacy,phone,0355506345,work,email,reception@pineviewpharmacy.example.com.au,,,
communitypharmacy-launching-place-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039204,,,,,,true,launching-place-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,Community Pharmacy,,,,,launching-place-pharmacy,Launching Place Pharmacy,phone,0355508832,work,email,reception@launchingplacepharmacy.example.net,,,
generalmedical-milnes-bridge-medical-centre,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373180,,,,,,true,milnes-bridge-medical-centre,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,milnes-bridge-medical-centre,Milnes Bridge Medical Centre,phone,0355507103,work,email,info@milnesbridgemc.example.com.au,,,
generalpractice-joyces-creek-medical-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039212,,,,,,true,joyces-creek-medical-clinic,http://snomed.info/sct,788007007,General practice service,,,,General practice medical clinic service,,,,,joyces-creek-medical-clinic,Joyces Creek Medical Clinic,phone,0355506498,work,email,info@joycescreekmc.example.net,,,
diagnosticimaging-douglas-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040482,,,,,,true,douglas-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,douglas-radiology,Douglas Radiology,phone,0355500107,work,email,reception@douglasradiology.example.com.au,,,
pathologylaboratory-trentham-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707024,,,,,,true,trentham-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,trentham-pathology,Trentham Pathology,phone,0355503342,work,email,reception@trenthampathology.example.net,,,
privateprofit-rowsley-aged-care,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039220,,,,,,true,rowsley-aged-care,http://snomed.info/sct,1120991000168102,Aged care residential service,,,,Private profit nursing home for the aged,,,,Residential care for the aged operation,rowsley-aged-care,Rowsley Aged Care,phone,0355500205,work,email,info@rowsleyagedcare.example.com.au,,,
opticaldispensing-eltham-north-optical,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373198,,,,,,true,eltham-north-optical,http://snomed.info/sct,310105000,"	Optometry service",,,,Optical dispensing,,,,,eltham-north-optical,Eltham North Optical,phone,0355508769,work,email,info@elthamnorthoptical.example.net,,,
audiologyservice-mitchells-hill-audiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707032,,,,,,true,mitchells-hill-audiology,http://snomed.info/sct,310004004,Hearing clinic service,,,,Audiology service,,,,,mitchells-hill-audiology,Mitchells Hill Audiology,phone,0355503095,work,email,reception@mitchellshillaudiology.example.com.au,,,
publicacute-bunbury-public-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039246,,,,,,true,bunbury-public-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,bunbury-public-hospital,Bunbury Public Hospital,phone,0855502588,work,email,reception@bunburyph.example.net,,,
privateacute-morgantown-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040516,,,,,,true,morgantown-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,morgantown-private-hospital,Morgantown Private Hospital,phone,0855507327,work,email,info@morgantownph.example.com.au,,,
diagnosticimaging-koolanooka-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373206,,,,,,true,koolanooka-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,koolanooka-radiology,Koolanooka Radiology,phone,0855500650,work,email,info@koolanookaradiology.example.net,,,
pathologylaboratory-kununurra-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039261,,,,,,true,kununurra-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,kununurra-pathology,Kununurra Pathology,phone,0855502812,work,email,reception@kununurrapathology.example.com.au,,,
pharmacyretail-mcbeath-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707040,,,,,,true,mcbeath-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,mcbeath-pharmacy,Mcbeath Pharmacy,phone,0855508220,work,email,reception@mcbeathpharmacy.example.net,,,
generalmedical-lake-wells-medical-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373439,,,,,,true,lake-wells-medical-practice,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,lake-wells-medical-practice,Lake Wells Medical Practice,phone,0855501208,work,email,info@lakewellsmp.example.com.au,,,
generalpractice-quinninup-medical-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040532,,,,,,true,quinninup-medical-clinic,http://snomed.info/sct,788007007,General practice service,,,,General practice medical clinic service,,,,,quinninup-medical-clinic,Quinninup Medical Clinic,phone,0855504049,work,email,info@quinninupmc.example.net,,,
specialistmedical-piesseville-gastroenterology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040540,,,,,,true,piesseville-gastroenterology,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,http://snomed.info/sct,394584008,Gastroenterology,Gastroenterology & Hepatology Services,piesseville-gastroenterology,Piesseville Gastroenterology,phone,0855509743,work,email,reception@piessevillegastroenterology.example.com.au,,,
communityhealth-balbarrup-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040557,,,,,,true,balbarrup-practice,http://snomed.info/sct,413294000,Community health services,,,,Community Health Care,,,,,balbarrup-practice,Balbarrup Practice,phone,0855508969,work,email,reception@balbarruppractice.example.net,,,
specialistmedical-east-point-renal-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707065,,,,,,true,east-point-renal-clinic,http://snomed.info/sct,310138009,"	Surgical service",,,,Specialist medical clinic service,,,,,east-point-renal-clinic,East Point Renal Clinic,phone,0855501588,work,email,reception@eastpointrenalclinic.example.com.au,,,
publicacute-pine-creek-public-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706126,,,,,,true,pine-creek-public-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,pine-creek-public-hospital,Pine Creek Public Hospital,phone,0855505942,work,email,reception@pinecreekph.example.net,,,
privateacute-beswick-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373230,,,,,,true,beswick-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,beswick-private-hospital,Beswick Private Hospital,phone,0855507024,work,email,info@beswickph.example.com.au,,,
diagnosticimaging-kaltukatjara-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373248,,,,,,true,kaltukatjara-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,kaltukatjara-radiology,Kaltukatjara Radiology,phone,0855500544,work,email,info@kaltukatjararadiology.example.net,,,
pathologylaboratory-bayview-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707073,,,,,,true,bayview-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,bayview-pathology,Bayview Pathology,phone,0855509259,work,email,reception@bayviewpathology.example.com.au,,,
pharmacyretail-ludmilla-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373462,,,,,,true,ludmilla-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,ludmilla-pharmacy,Ludmilla Pharmacy,phone,0855508851,work,email,reception@ludmillapharmacy.example.net,,,
generalmedical-alice-springs-medical-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039287,,,,,,true,alice-springs-medical-practice,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,alice-springs-medical-practice,Alice Springs Medical Practice,phone,0855500508,work,email,info@alicespringsmp.example.com.au,,,
generalpractice-cullen-bay-medical-clinic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039295,,,,,,true,cullen-bay-medical-clinic,http://snomed.info/sct,788007007,General practice service,,,,General practice medical clinic service,,,,,cullen-bay-medical-clinic,Cullen Bay Medical Clinic,phone,0855505630,work,email,info@cullenbay.example.net,,,
communityhealth-annie-river-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706142,,,,,,true,annie-river-practice,http://snomed.info/sct,413294000,Community health services,,,,Community Health Care,,,,,annie-river-practice,Annie River Practice,phone,0855508858,work,email,reception@annieriverpractice.example.com.au,,,
publicacute-leasingham-public-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040581,,,,,,true,leasingham-public-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Public acute care Hospital,,,,,leasingham-public-hospital,Leasingham Public Hospital,phone,0855503755,work,email,info@leasinghamph.example.net,,,
privateacute-yunta-private-hospital,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373488,,,,,,true,yunta-private-hospital,http://snomed.info/sct,2421000175108,Acute care inpatient service,,,,Private acute care Hospital,,,,,yunta-private-hospital,Yunta Private Hospital,phone,0855504159,work,email,reception@yuntaph.example.com.au,,,
diagnosticimaging-cape-jaffa-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373263,,,,,,true,cape-jaffa-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,cape-jaffa-radiology,Cape Jaffa Radiology,phone,0855503549,work,email,reception@capejaffaradiology.example.net,,,
diagnosticimaging-back-valley-radiology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373271,,,,,,true,back-valley-radiology,http://snomed.info/sct,708175003,Diagnostic imaging service,,,,Diagnostic imaging service,http://snomed.info/sct,394914008,Radiology - speciality,Diagnostic Radiology,back-valley-radiology,Back Valley Radiology,phone,0855506346,work,email,info@backvalleyradiology.example.com.au,,,
pathologylaboratory-woodcroft-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706159,,,,,,true,woodcroft-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,woodcroft-pathology,Woodcroft Pathology,phone,0855503641,work,email,info@woodcroftpathology.example.net,,,
pathologylaboratory-wingfield-pathology,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373504,,,,,,true,wingfield-pathology,http://snomed.info/sct,310074003,"	Pathology service",,,,Pathology laboratory service,,,,,wingfield-pathology,Wingfield Pathology,phone,0855505676,work,email,reception@wingfieldpathology.example.com.au,,,
pharmacyretail-edwardstown-pharmacy,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373512,,,,,,true,edwardstown-pharmacy,http://snomed.info/sct,310080006,Pharmacy service,,,,"Pharmacy, retail, operation",,,,,edwardstown-pharmacy,Edwardstown Pharmacy,phone,0855505310,work,email,reception@edwardstownpharmacy.example.net,,,
generalmedical-beltana-medical-practice,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039329,,,,,,true,beltana-medical-practice,http://snomed.info/sct,700232004,General medical service,,,,General medical practitioner service,,,,,beltana-medical-practice,Beltana Medical Practice,phone,0855503041,work,email,info@beltanamp.example.com.au,,,
chiropractic-karkoo-chiropractic,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707123,,,,,,true,karkoo-chiropractic,http://snomed.info/sct,722170006,Chiropractic service,,,,Chiropractic,,,,,karkoo-chiropractic,Karkoo Chiropractic,phone,0855507557,work,email,info@karkoochiropractic.example.net,,,
