id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,name,alias1,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_type,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,partOf_reference_type,partOf_reference_id,,
berat-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373099,XX,,ABN,http://hl7.org.au/id/abn,81129701630,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Berat Radiology,,phone,0755508498,work,email,reception@beratradiology.example.com.au,,,170 Compton Way,Berat,QLD,4362,,,,,,
mount-charlton-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373306,XX,,ABN,http://hl7.org.au/id/abn,81184472182,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Mount Charlton Radiology,,phone,0755502224,work,email,reception@mouncharltonradiology.example.net,,,7 Desleigh Rdge,Mount Charlton,QLD,4741,,,,,,
carrington-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706877,XX,,ABN,http://hl7.org.au/id/abn,81141811375,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Carrington Pathology,,phone,0755503570,work,email,info@carringtonpathology.example.com.au,,,142 East Way,Carrington,QLD,4350,,,,,,
kioma-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566705995,XX,,ABN,http://hl7.org.au/id/abn,81122808516,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Kioma Pathology,,phone,0755505000,work,email,info@kiomapathology.example.net,,,15 Hazlett Est,Kioma,QLD,4498,,,,,,
east-mackay-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706893,XX,,ABN,http://hl7.org.au/id/abn,81146583113,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",East Mackay Pharmacy,,phone,0755505528,work,email,reception@eastmackaypharmacy.example.com.au,,,138 Homer St,East Mackay,QLD,4740,,,,,,
cracow-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039105,XX,,ABN,http://hl7.org.au/id/abn,81157089619,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,Community Pharmacy,Cracow Pharmacy,,phone,0755500346,work,email,reception@cracowpharmacy.example.net,,,174 Tarpeian St,Cracow,QLD,4719,,,,,,
elimbah-medical-centre,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040359,XX,,ABN,http://hl7.org.au/id/abn,81195054644,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Elimbah Medical Centre,,phone,0755503997,work,email,info@elimbahmedicalcentre.example.com.au,,,199 Copper Esp,Elimbah,QLD,4516,,,,,,
loch-lomond-medical-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040367,XX,,ABN,http://hl7.org.au/id/abn,81111751322,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,788007007,General practice service,General practice medical clinic service,Loch Lomond Medical Clinic,,phone,0755507646,work,email,info@lochlomondmc.example.net,,,32 Silver Cl,Loch Lomond,QLD,4370,,,,,,
hudson-aged-care,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706019,XX,,ABN,http://hl7.org.au/id/abn,81187304299,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8601,Aged Care Residential Services,http://snomed.info/sct,1120991000168102,Aged care residential service,Residential care for the aged operation,Hudson Aged Care,,phone,0755500619,work,email,reception@hudsonagedcare.example.com.au,,,99 Southern Lane,Hudson,QLD,4860,,,,,,
annandale-dental,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040383,XX,,ABN,http://hl7.org.au/id/abn,81117277206,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8531,Dental Services,http://snomed.info/sct,310144008,General dental practice service,Dental practice service,Annandale Dental,,phone,0755500726,work,email,reception@annandaledental.example.net,,,164 Cresson Esp,Annandale,QLD,4814,,,,,,
southedge-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706901,XX,,ABN,http://hl7.org.au/id/abn,81196286236,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,413294000,Community health services,Community Health Care,Southedge Practice,,phone,0755508297,work,email,info@southedgepractice.example.com.au,,,33 Church Tce,Southedge,QLD,4871,,,,,,
dubbo-emergency,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039121,XX,,ABN,http://hl7.org.au/id/abn,81142741850,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310000008,Emergency department service,Emergency Department Services,Dubbo Emergency,,phone,0255500451,work,email,info@dubboemergency.example.net,,,24 Airport Rdge,Dubbo,NSW,2830,,,,,,
gangat-endocrinology-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373115,XX,,ABN,http://hl7.org.au/id/abn,81173889719,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Endocrinology Services,Gangat Endocrinology Clinic,,phone,0255509908,work,email,reception@gangatendocrinologyclinic.example.com.au,,,142 Mandarin Rd,Gangat,NSW,2422,,,,,,
kensington-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706927,XX,,ABN,http://hl7.org.au/id/abn,81160635191,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Kensington Public Hospital,,phone,0255507070,work,email,reception@kensingtonph.example.net,,,191 Jenkins Cct,Kensington,NSW,2033,,,,,,
mount-mitchell-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373330,XX,,ABN,http://hl7.org.au/id/abn,81177929013,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Mount Mitchell Private Hospital,,phone,0255507157,work,email,info@mountmitchellph.example.com.au,,,40 Jenkins Rvr,Mount Mitchell,NSW,2365,,,,,,
frenchs-forest-east-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706935,XX,,ABN,http://hl7.org.au/id/abn,81116303327,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Frenchs Forest East Radiology,,phone,0255509361,work,email,info@frenchsforesteastrd.example.net,,,16 Innovation Cl,Frenchs Forest East,NSW,2086,,,,,,
fishermans-reach-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373348,XX,,ABN,http://hl7.org.au/id/abn,81111781162,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Fishermans Reach Radiology,,phone,0255501561,work,email,reception@fishermansreachrd.example.com.au,,,5 Newport Rdge,Fishermans Reach,NSW,2441,,,,,,
pullabooka-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373131,XX,,ABN,http://hl7.org.au/id/abn,81194371030,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Pullabooka Pathology,,phone,0255508639,work,email,reception@pullabookapathology.example.net,,,127 Council Dr,Pullabooka,NSW,2810,,,,,,
higher-macdonald-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040391,XX,,ABN,http://hl7.org.au/id/abn,81146466465,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Higher Macdonald Pathology,,phone,0255508665,work,email,info@highermacdonaldpathology.example.com.au,,,79 Hermann Rvr,Higher Macdonald,NSW,2775,,,,,,
lilydale-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040409,XX,,ABN,http://hl7.org.au/id/abn,81160141470,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Lilydale Pharmacy,,phone,0255502632,work,email,info@lilydalepharmacy.example.net,,,6 Wolverene Cct,Lilydale,NSW,2460,,,,,,
appin-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040417,XX,,ABN,http://hl7.org.au/id/abn,81124140480,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,Community Pharmacy,Appin Pharmacy,,phone,0255500340,work,email,reception@appinpharmacy.example.com.au,,,124 Hendrix Ave,Appin,NSW,2560,,,,,,
mossy-point-medical-centre,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040425,XX,,ABN,http://hl7.org.au/id/abn,81185378242,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Mossy Point Medical Centre,,phone,0255509415,work,email,reception@mossypointmc.example.net,,,192 Pheonix Jnc,Mossy Point,NSW,2537,,,,,,
bungabbee-medical-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039170,XX,,ABN,http://hl7.org.au/id/abn,81156248664,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,788007007,General practice service,General practice medical clinic service,Bungabbee Medical Clinic,,phone,0255506327,work,email,info@bungabbeemc.example.com.au,,,158 Toby Ave,Bungabbee,NSW,2480,,,,,,
wallendbeen-aged-care,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040441,XX,,ABN,http://hl7.org.au/id/abn,81111740470,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8601,Aged Care Residential Services,http://snomed.info/sct,1120991000168102,Aged care residential service,Residential care for the aged operation,Wallendbeen Aged Care,,phone,0255506011,work,email,info@wallendbeenagedcare.example.net,,,62 Desleigh Dr,Wallendbeen,NSW,2588,,,,,,
canton-beach-physiotherapy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706068,XX,,ABN,http://hl7.org.au/id/abn,81139258671,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8533,Physiotherapy Services,http://snomed.info/sct,722140001,Physiotherapy service,Physiotherapy Services,Canton Beach Physiotherapy,,phone,0255504477,work,email,reception@cantonbeachphysio.example.com.au,,,42 Southern Lane,Canton Beach,NSW,2263,,,,,,
bucketty-oncology-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706950,XX,,ABN,http://hl7.org.au/id/abn,81150584429,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Clinical Oncology Services,Bucketty Oncology Clinic,,phone,0255508886,work,email,reception@buckettyoncologyclinic.example.net,,,144 Gold Qy,Bucketty,NSW,2250,,,,,,
kippenduff-cardiologist,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373156,XX,,ABN,http://hl7.org.au/id/abn,81183460323,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Specialist medical clinic service,Kippenduff Cardiologist,,phone,0255505938,work,email,info@kippenduffcardiologist.example.com.au,,,58 Warrego Tce,Kippenduff,NSW,2469,,,,,,
mount-glasgow-emergency,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706076,XX,,ABN,http://hl7.org.au/id/abn,81153248356,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310000008,Emergency department service,Emergency Department Services,Mount Glasgow Emergency,,phone,0355504383,work,email,info@mountglasgowemergency.example.com.au,,,142 Toby Rd,Mount Glasgow,VIC,3371,,,,,,
cooriemungle-cardiology-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373371,XX,,ABN,http://hl7.org.au/id/abn,81196223842,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Thoracic medicine Services,Cooriemungle Cardiology Clinic,,phone,0355508586,work,email,info@cooriemunglecardiologyclinic.example.net,,,29 Hendrix Pde,Cooriemungle,VIC,3268,,,,,,
murrabit-public-hopsital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706976,XX,,ABN,http://hl7.org.au/id/abn,81156473823,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Murrabit Public Hopsital,,phone,0355509111,work,email,reception@murrabitph.example.com.au,,,144 Central Gdns,Murrabit,VIC,3579,,,,,,
wannon-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039188,XX,,ABN,http://hl7.org.au/id/abn,81114138547,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Wannon Private Hospital,,phone,0355508740,work,email,reception@wannonph.example.net,,,182 Hung Lane,Wannon,VIC,3301,,,,,,
mckenzie-creek-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566706992,XX,,ABN,http://hl7.org.au/id/abn,81190228651,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Mckenzie Creek Radiology,,phone,0355502169,work,email,info@mckenziecreekradiology.example.com.au,,,92 Arthur Lane,Mckenzie Creek,VIC,3401,,,,,,
bridgewater-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039196,XX,,ABN,http://hl7.org.au/id/abn,81193798638,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Bridgewater Pathology,,phone,0355505241,work,email,info@bridgewaterpathology.example.net,,,38 Central Cl,Bridgewater On Loddon,VIC,3516,,,,,,
pine-view-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373172,XX,,ABN,http://hl7.org.au/id/abn,81163933903,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Pine View Pharmacy,,phone,0355506345,work,email,reception@pineviewpharmacy.example.com.au,,,125 Sebastien Pnt,Pine View,VIC,3579,,,,,,
launching-place-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039204,XX,,ABN,http://hl7.org.au/id/abn,81115739073,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,Community Pharmacy,Launching Place Pharmacy,,phone,0355508832,work,email,reception@launchingplacepharmacy.example.net,,,45 Valley Tce,Launching Place,VIC,3139,,,,,,
milnes-bridge-medical-centre,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373180,XX,,ABN,http://hl7.org.au/id/abn,81143845942,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Milnes Bridge Medical Centre,,phone,0355507103,work,email,info@milnesbridgemc.example.com.au,,,71 River Pl,Milnes Bridge,VIC,3579,,,,,,
joyces-creek-medical-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039212,XX,,ABN,http://hl7.org.au/id/abn,81174193548,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,788007007,General practice service,General practice medical clinic service,Joyces Creek Medical Clinic,,phone,0355506498,work,email,info@joycescreekmc.example.net,,,94 Hendrix Pl,Joyces Creek,VIC,3462,,,,,,
douglas-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040482,XX,,ABN,http://hl7.org.au/id/abn,81132303164,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Douglas Radiology,,phone,0355500107,work,email,reception@douglasradiology.example.com.au,,,74 Freedom Lane,Douglas,VIC,3401,,,,,,
trentham-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707024,XX,,ABN,http://hl7.org.au/id/abn,81194935283,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Trentham Pathology,,phone,0355503342,work,email,reception@trenthampathology.example.net,,,10 King Gr,Trentham,VIC,3458,,,,,,
rowsley-aged-care,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039220,XX,,ABN,http://hl7.org.au/id/abn,81170270902,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8601,Aged Care Residential Services,http://snomed.info/sct,1120991000168102,Aged care residential service,Residential care for the aged operation,Rowsley Aged Care,,phone,0355500205,work,email,info@rowsleyagedcare.example.com.au,,,18 Forrest Qy,Rowsley,VIC,3340,,,,,,
eltham-north-optical,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373198,XX,,ABN,http://hl7.org.au/id/abn,81144529557,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8532,Optometry and Optical Dispensing,http://snomed.info/sct,310105000,"	Optometry service",Optical dispensing,Eltham North Optical,,phone,0355508769,work,email,info@elthamnorthoptical.example.net,,,83 Long St,Eltham North,VIC,3095,,,,,,
mitchells-hill-audiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707032,XX,,ABN,http://hl7.org.au/id/abn,81129842694,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8539,Other Allied Health Services,http://snomed.info/sct,310004004,Hearing clinic service,Audiology service,Mitchells Hill Audiology,,phone,0355503095,work,email,reception@mitchellshillaudiology.example.com.au,,,87 Freedom Pnt,Mitchells Hill,VIC,3478,,,,,,
bunbury-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039246,XX,,ABN,http://hl7.org.au/id/abn,81188950942,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Bunbury Public Hospital,,phone,0855502588,work,email,reception@bunburyph.example.net,,,142 Underwood Cl,Bunbury,WA,6230,,,,,,
morgantown-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040516,XX,,ABN,http://hl7.org.au/id/abn,81132333004,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Morgantown Private Hospital,,phone,0855507327,work,email,info@morgantownph.example.com.au,,,190 Innovation Rdge,Morgantown,WA,6701,,,,,,
